eng,dutch,lev
porcelain,porselein,0.77778
director,directeur,0.77778
albatross,albatros,0.88889
spinach,spinazie,0.625
cyanide,cyanide,1
castle,kasteel,0.57143
euphemism,eufemisme,0.66667
major,majoor,0.83333
number,nummeren,0.625
number,nummer,0.83333
florist,bloemist,0.625
stage,statie,0.66667
stage,stellage,0.625
guest,gast,0.6
introduction,introductie,0.83333
tradition,traditie,0.77778
saint,sint,0.8
appreciation,appreciatie,0.83333
plus,plus,1
typhoon,tyfoon,0.71429
consult,consulteren,0.63636
theater,theater,1
grace,gratie,0.66667
pear,peer,0.75
ranch,ranch,1
uncomfortable,oncomfortabel,0.76923
graffiti,graffiti,1
blond,blond,1
ballerina,ballerina,1
spaghetti,spaghetti,1
self,zelf,0.75
internal,intern,0.75
analogy,analogie,0.75
hypochondriac,hypochonder,0.69231
nasal,nasaal,0.83333
plan,plan,1
plan,plannen,0.57143
orchid,orchidee,0.75
oyster,oester,0.83333
artistic,artistiek,0.77778
bulletin,bulletin,1
golf,golf,1
impact,impact,1
enzyme,enzym,0.83333
condom,condoom,0.85714
factor,factor,1
typhus,tyfus,0.66667
gratis,gratis,1
remedy,remedie,0.71429
compass,kompas,0.71429
caramel,karamel,0.85714
obscure,obscuur,0.71429
river,rivier,0.83333
outlaw,outlaw,1
overwhelm,overstelpen,0.54545
jade,jade,1
nibble,knabbelen,0.55556
surrealism,surrealisme,0.90909
contour,contour,1
microscopic,microscopisch,0.84615
compliment,compliment,1
compliment,complimenteren,0.71429
europe,europa,0.83333
subject,subject,1
incident,incident,1
last,laatst,0.66667
opal,opaal,0.8
amoeba,amoebe,0.83333
electrician,elektricien,0.81818
majesty,majesteit,0.66667
bell,bel,0.75
begonia,begonia,1
satire,satire,1
verse,vers,0.8
extravagant,extravagant,1
firm,ferm,0.75
firm,firma,0.8
champion,kampioen,0.625
infect,infecteren,0.6
fund,fonds,0.6
systematic,systematisch,0.83333
consulate,consulaat,0.77778
budget,budget,1
pound,pond,0.8
agitation,agitatie,0.77778
serum,serum,1
specimen,specimen,1
cigar,sigaar,0.66667
alert,alert,1
recent,recent,1
octave,octaaf,0.66667
concrete,concreet,0.75
inflation,inflatie,0.77778
telegram,telegram,1
aroma,aroma,1
sandal,sandaal,0.85714
grapefruit,grapefruit,1
location,locatie,0.75
australia,australië,0.8
quest,queeste,0.71429
flannel,flanel,0.85714
spine,spin,0.8
continue,continueren,0.72727
spring,ontspringen,0.54545
spring,springveer,0.6
spring,springen,0.75
promotion,promotie,0.77778
curious,curieus,0.85714
mummy,mummie,0.66667
religion,religie,0.75
temple,tempel,0.66667
idealistic,idealistisch,0.83333
inspector,inspecteur,0.8
penicillin,penicilline,0.90909
repair,reparatie,0.55556
repair,repareren,0.55556
integral,integraal,0.88889
insecticide,insecticide,1
arcade,arcade,1
sock,sok,0.75
pastor,pastor,1
pastor,pastoor,0.85714
archaic,archaïsch,0.6
line,linie,0.8
idea,idee,0.75
observation,observatie,0.81818
astronomer,astronoom,0.7
slander,laster,0.57143
medical,medicinaal,0.7
medical,medisch,0.57143
hornet,horzel,0.66667
diverse,divers,0.85714
graceful,gracieus,0.625
hail,hagel,0.6
paradox,paradox,1
uranium,uranium,1
energetic,energiek,0.55556
land,land,1
urgency,urgentie,0.625
fresh,fris,0.6
hello,hallo,0.8
code,code,1
partial,partieel,0.75
totem,totem,1
luxembourg,luxemburg,0.9
turkish,turks,0.71429
hunger,honger,0.83333
young,jong,0.6
street,straat,0.66667
torture,tortuur,0.71429
magic,magisch,0.71429
magic,magie,0.8
race,racen,0.8
race,race,1
athlete,atleet,0.57143
mediterranean,mediterraan,0.84615
ode,ode,1
index,index,1
index,indexeren,0.55556
apparatus,apparaat,0.66667
punch,punch,1
licence,licentie,0.75
fifteen,vijftien,0.625
physiology,fysiologie,0.6
impressionism,impressionisme,0.92857
great,groot,0.6
engage,engageren,0.66667
casino,casino,1
popcorn,popcorn,1
opinion,opinie,0.71429
cupid,cupido,0.83333
causal,causaal,0.85714
certificate,certificaat,0.81818
archbishop,aartsbisschop,0.61538
shipwreck,schipbreuk,0.7
pygmy,pygmee,0.66667
baby,baby,1
oh,oh,1
oh,och,0.66667
reproduce,reproduceren,0.75
process,proces,0.85714
high,high,1
martyr,martelaar,0.55556
trumpet,trompet,0.85714
comedy,komedie,0.57143
establishment,etablissement,0.76923
pub,pub,1
hawk,havik,0.6
tomato,tomaat,0.66667
robot,robot,1
element,element,1
transformation,transformatie,0.85714
antelope,antilope,0.875
producer,producent,0.77778
insight,inzicht,0.71429
spatula,spatel,0.71429
comma,komma,0.8
perfect,perfect,1
hobby,hobby,1
isolation,isolatie,0.77778
ship,schip,0.8
dock,dok,0.75
realize,realiseren,0.6
intelligent,intelligent,1
beneath,beneden,0.57143
stock,stock,1
watery,waterig,0.71429
beginner,beginneling,0.63636
beginner,beginner,1
frequency,frequentie,0.7
banal,banaal,0.83333
disco,disco,1
agriculture,agricultuur,0.81818
goalkeeper,keeper,0.6
matrix,matrix,1
microscope,microscoop,0.8
fatherland,vaderland,0.7
tempo,tempo,1
graze,grazen,0.83333
sanatorium,sanatorium,1
fertility,fertiliteit,0.72727
biosphere,biosfeer,0.66667
length,lengte,0.83333
pudding,pudding,1
serenity,sereniteit,0.7
manuscript,manuscript,1
manuscript,handschrift,0.63636
start,start,1
start,starten,0.71429
festival,festival,1
festival,festiviteit,0.54545
system,systeem,0.85714
imitate,imiteren,0.625
iota,jota,0.75
steel,staal,0.6
valley,vallei,0.83333
split,splijten,0.625
split,splitsen,0.625
commandant,commandant,1
psalm,psalm,1
agate,agaat,0.6
FALSE,vals,0.6
deodorant,deodorant,1
linen,linnen,0.83333
accuracy,accuratesse,0.54545
visa,visum,0.6
medal,medaille,0.625
hypocrite,hypocriet,0.77778
fiasco,fiasco,1
atmosphere,atmosfeer,0.7
bring,brengen,0.57143
manchester,manchester,1
pause,pauze,0.8
jam,jam,1
hope,hopen,0.8
handle,handvat,0.57143
handle,handgreep,0.55556
handle,behandelen,0.6
listener,luisteraar,0.6
rector,rector,1
antagonist,antagonist,1
denmark,denemarken,0.7
stuff,stof,0.6
edition,editie,0.71429
electrode,elektrode,0.88889
nuclear,nucleair,0.875
physicist,fysicus,0.55556
seventeen,zeventien,0.77778
drug,drug,1
conclude,concluderen,0.72727
incest,incest,1
genetic,genetisch,0.77778
social,sociaal,0.85714
tyranny,tirannie,0.625
homosexual,homosexueel,0.81818
altruism,altruïsme,0.7
prelude,prelude,1
snack,snack,1
whenever,wanneer,0.625
lust,wellust,0.57143
tenor,tenor,1
conserve,conserveren,0.72727
cremation,crematie,0.77778
romance,romance,1
vocabulary,vocabulaire,0.81818
balm,balsem,0.66667
ball,bal,0.75
drink,drank,0.8
drink,drinken,0.71429
diabetes,diabetes,1
priest,priester,0.75
fascinate,fascineren,0.7
idiot,idioot,0.83333
spelt,spelt,1
command,commando,0.875
command,commanderen,0.63636
web,web,1
generous,genereus,0.875
transparent,transparant,0.90909
arrest,arresteren,0.6
arrest,arrest,1
arrest,arrestatie,0.6
combine,combineren,0.7
belgium,belgië,0.71429
garage,autogarage,0.6
garage,garage,1
amendment,amendement,0.9
freshness,frisheid,0.55556
thief,dief,0.6
daylight,daglicht,0.75
gymnastics,gymnastiek,0.8
copulation,copulatie,0.8
castrate,castreren,0.66667
biology,biologie,0.75
pressure,pressie,0.75
iris,iris,1
sister,zuster,0.66667
concession,concessie,0.8
underground,ondergronds,0.72727
lung,long,0.75
commission,commissie,0.8
caviar,kaviaar,0.71429
frustration,frustratie,0.81818
function,functioneren,0.66667
function,functie,0.75
interest,interest,1
interest,interesseren,0.58333
interest,interesse,0.77778
construction,constructie,0.83333
sportsman,sporter,0.55556
sportsman,sportman,0.88889
evident,evident,1
monument,monument,1
static,statisch,0.75
distribution,distributie,0.83333
replica,replica,1
variety,variatie,0.625
agoraphobia,agorafobie,0.72727
scandal,schandaal,0.77778
illusion,illusie,0.75
monday,maandag,0.57143
worker,werker,0.83333
worker,werknemer,0.55556
epilogue,epiloog,0.625
ghost,geest,0.6
droplet,druppel,0.57143
lift,lift,1
pension,pensioen,0.875
rural,ruraal,0.83333
magnetic,magnetisch,0.8
controversial,controversieel,0.85714
amorous,amoureus,0.75
geology,geologie,0.75
hilarious,hilarisch,0.66667
mania,manie,0.8
special,special,1
special,speciaal,0.875
chapel,kapel,0.66667
daydream,dagdroom,0.625
nigger,nikker,0.66667
disc,discus,0.66667
triumph,triomf,0.57143
advocate,advocaat,0.75
monotonous,monotoon,0.7
telegraph,telegraaf,0.77778
horn,hoorn,0.8
chef,chef,1
guillotine,guillotine,1
above,daarboven,0.55556
above,boven,0.6
daughter,dochter,0.625
anarchist,anarchist,1
anarchist,anarchistisch,0.69231
diameter,diameter,1
satellite,satelliet,0.77778
sergeant,sergeant,1
total,totaal,0.83333
alligator,alligator,1
sweater,sweater,1
escapism,escapisme,0.88889
word,woord,0.8
work,werk,0.75
mechanic,mecanicien,0.6
quiver,huiveren,0.625
quiver,huivering,0.55556
india,india,1
heartless,harteloos,0.55556
chameleon,kameleon,0.77778
vassal,vazal,0.66667
interview,interview,1
ladder,ladder,1
after,achter,0.66667
hasty,haastig,0.57143
appreciate,appreciëren,0.66667
psychologist,psychologe,0.75
psychologist,psycholoog,0.66667
greet,groeten,0.57143
stimulate,stimuleren,0.7
greek,grieks,0.66667
greek,griek,0.8
green,groen,0.8
ambulance,ambulance,1
order,orde,0.8
order,order,1
tinkle,rinkelen,0.625
production,productie,0.8
coffee,koffie,0.66667
fragment,fragment,1
fragment,fragmenteren,0.66667
scene,scène,0.66667
break,breuk,0.8
band,bende,0.6
band,band,1
baggage,bagage,0.85714
bank,bank,1
bread,brood,0.6
germanic,germaans,0.625
stimulus,stimulatie,0.6
train,trein,0.8
train,trainen,0.71429
hostel,hostel,1
diesel,dieselmotor,0.54545
diesel,diesel,1
medicine,medicijn,0.75
hooker,hoer,0.66667
barrier,barrière,0.66667
triangle,triangel,0.75
standard,standaard,0.88889
organize,organiseren,0.63636
another,ander,0.57143
electronic,electronisch,0.83333
electronic,elektronisch,0.75
emblem,embleem,0.85714
meteorology,meteorologie,0.83333
historical,historisch,0.7
minus,minus,1
minus,min,0.6
bronchitis,bronchitis,1
pessimism,pessimisme,0.9
manner,manier,0.83333
iceland,ijsland,0.71429
what,wat,0.75
anatomy,anatomie,0.75
phase,fase,0.6
grave,graf,0.6
grave,groeve,0.66667
notion,notie,0.66667
pack,pak,0.75
precarious,precair,0.6
toilet,toilet,1
toast,toast,1
just,juist,0.8
just,zojuist,0.57143
adequate,adequaat,0.75
degradation,degradatie,0.81818
singapore,singapore,1
humanism,humanisme,0.88889
humanist,humanist,1
steam,stoom,0.6
secretary,secretaresse,0.66667
secretary,secretaris,0.8
human,humaan,0.83333
aggressor,agressor,0.88889
lemonade,limonade,0.875
iran,iran,1
pastel,pastel,1
gentleman,gentleman,1
cooperation,coöperatie,0.63636
accord,akkoord,0.57143
handful,handvol,0.71429
handshake,handdruk,0.55556
climate,klimaat,0.57143
spear,speer,0.8
massive,massief,0.71429
massive,massaal,0.57143
accentuate,accentueren,0.72727
flexible,flexibel,0.75
warmth,warmte,0.83333
salon,salon,1
seville,sevilla,0.85714
shoemaker,schoenmaker,0.81818
abrupt,abrupt,1
cylinder,cilinder,0.875
sticker,sticker,1
hebrew,hebreeuws,0.66667
grandiose,grandioos,0.77778
patent,patent,1
swell,zwellen,0.57143
hang,hangen,0.66667
hand,hand,1
microbiology,microbiologie,0.84615
client,cliënt,0.71429
musical,musical,1
musical,muzikaal,0.625
athletic,atletisch,0.66667
photo,foto,0.6
transformer,transformator,0.76923
starboard,stuurboord,0.7
passive,passief,0.71429
alchemy,alchemie,0.75
board,bord,0.8
plasma,plasma,1
shoulder,schouder,0.75
arab,arabier,0.57143
boxer,bokser,0.66667
cape,cape,1
retreat,retraite,0.625
sombre,somber,0.66667
night,nacht,0.6
polyp,poliep,0.66667
antique,antiek,0.57143
portuguese,portugees,0.8
born,geboren,0.57143
bore,boren,0.8
criminology,criminologie,0.83333
purple,purper,0.66667
herring,haring,0.71429
columbus,columbus,1
pose,poseren,0.57143
pose,pose,1
illustration,illustratie,0.83333
constructive,constructief,0.83333
banker,bankier,0.85714
horizon,horizon,1
octopus,octopus,1
dilemma,dilemma,1
mantle,mantel,0.66667
utopian,utopisch,0.625
wax,was,0.66667
myth,mythe,0.8
converse,converseren,0.72727
TRUE,trouw,0.6
absent,absent,1
input,input,1
maximum,maximum,1
maximum,maximaal,0.625
crystal,kristal,0.71429
macabre,macaber,0.71429
emotional,emotioneel,0.8
aorta,aorta,1
abstract,abstract,1
israel,israël,0.71429
trombone,trombone,1
mole,mol,0.75
reality,realiteit,0.66667
test,testen,0.66667
test,test,1
mechanical,mechanisch,0.7
mechanical,machinaal,0.6
omega,omega,1
interval,interval,1
loyal,loyaal,0.83333
reception,receptie,0.77778
igloo,iglo,0.8
concept,concept,1
diplomacy,diplomatie,0.7
dance,dansen,0.66667
dance,dans,0.6
consul,consul,1
idealism,idealisme,0.88889
zone,zone,1
must,most,0.75
compensate,compenseren,0.72727
terror,terreur,0.71429
idealist,idealist,1
brown,bruin,0.6
kitten,kitten,1
fragile,fragiel,0.71429
gum,gom,0.66667
gum,gummi,0.6
diarrhoea,diarree,0.66667
brave,braaf,0.6
agitate,agiteren,0.625
thinker,denker,0.57143
helpless,hulpeloos,0.55556
cargo,cargo,1
assistance,assistentie,0.72727
uniform,uniform,1
appeal,appèl,0.66667
appeal,appel,0.83333
explosion,explosie,0.77778
muslin,mousseline,0.6
goldfish,goudvis,0.625
extra,extra,1
pony,pony,1
marker,marker,1
market,markt,0.83333
terminal,terminaal,0.88889
terminal,terminal,1
aborigine,aboriginal,0.8
live,leven,0.6
matador,matador,1
entrance,entree,0.625
club,club,1
logarithm,logaritme,0.77778
catechism,catechismus,0.81818
cap,kap,0.66667
cat,kat,0.66667
heart,hart,0.8
chic,chic,1
bankrupt,bankroet,0.75
discussion,discussie,0.8
lounge,lounge,1
photography,fotografie,0.54545
crucifix,crucifix,1
product,product,1
product,productie,0.77778
escalate,escaleren,0.66667
drastic,drastisch,0.77778
typical,typisch,0.57143
indeed,inderdaad,0.55556
brain,brein,0.8
braid,band,0.6
ethic,ethiek,0.66667
inefficiency,inefficiëntie,0.64286
correspondence,correspondentie,0.86667
introduce,introduceren,0.75
adrenaline,adrenaline,1
half,half,1
half,helft,0.6
now,nou,0.66667
discuss,discussiëren,0.53846
halo,halo,1
concerto,concerto,1
respectable,respectabel,0.81818
drop,drop,1
domain,domein,0.83333
album,album,1
terrorist,terrorist,1
immigrant,immigrant,1
rational,rationeel,0.77778
epistle,epistel,0.71429
screw,schroef,0.57143
rebel,rebel,1
obligation,obligatie,0.8
marine,marinier,0.75
reflect,reflecteren,0.63636
homily,homilie,0.71429
british,brits,0.71429
invitation,invitatie,0.8
blind,blind,1
tennis,tennis,1
nova,nova,1
width,wijdte,0.66667
tragic,tragisch,0.75
carousel,carrousel,0.88889
friend,vriend,0.83333
friend,vriendin,0.625
television,televisie,0.8
crack,krak,0.6
optimism,optimisme,0.88889
karate,karate,1
magnesium,magnesium,1
optimist,optimist,1
angel,engel,0.8
grotto,grot,0.66667
correction,correctie,0.8
premier,premier,1
slap,klap,0.75
slap,slaan,0.6
slag,slak,0.75
rook,roek,0.75
objective,objectief,0.77778
begin,beginnen,0.625
shade,schaduw,0.57143
sledge,slee,0.66667
sledge,slede,0.83333
price,prijs,0.6
dream,droom,0.6
aerosol,aërosol,0.75
pattern,patroon,0.57143
professional,professioneel,0.84615
syndicate,syndicaat,0.77778
geography,geografie,0.66667
ratio,ratio,1
title,betitelen,0.55556
title,titel,0.6
proclamation,proclamatie,0.83333
proportion,proportie,0.8
texture,textuur,0.71429
otter,otter,1
shrill,schril,0.66667
alcoholism,alcoholisme,0.90909
toffee,toffee,1
cannon,kanon,0.66667
cannon,canon,0.83333
pistol,pistool,0.85714
leather,leder,0.57143
schism,schisma,0.85714
concert,concert,1
burst,barst,0.8
burst,barsten,0.57143
explosive,explosief,0.77778
sport,sport,1
glaze,glazuur,0.57143
glaze,glazuren,0.625
glaze,glanzen,0.71429
mandarin,mandarijn,0.88889
import,importeren,0.6
monarchy,monarchie,0.77778
pluck,plukken,0.57143
article,artikel,0.57143
talented,talentvol,0.66667
talented,getalenteerd,0.66667
monk,monnik,0.66667
propaganda,propaganda,1
aura,aura,1
